"internal_id","project","flat","cover_image","image_count","cover_is_plan"
"luchi-21","Лучи","21","https://selcdn.trendagent.ru/images/ip/wm/ghq9g7ec3e6wk8n1lqo5ehfq.png","6","true"
"luchi-1935","Лучи","1935","https://selcdn.trendagent.ru/images/i7/h4/rit7dt4xueehxnkh02mhqtby.png","6","true"
"luchi-1540","Лучи","1540","https://selcdn.trendagent.ru/images/a6/9x/5hxf4ahh137g5zlpyae1vihr.png","6","true"
"luchi-1462","Лучи","1462","https://selcdn.trendagent.ru/images/kh/my/9di6nkea010tta7x0zrsg9ag.png","6","true"
"luchi-824","Лучи","824","https://selcdn.trendagent.ru/images/1/c/35ie4wa3g50in8mtatrdvr2h.png","6","true"
"s5-60305","С5","60305","https://selcdn.trendagent.ru/images/v1/xh/50q6fbd8lqy74konb8klvahu.png","6","true"
"s5-40204","С5","40204","https://selcdn.trendagent.ru/images/63/s2/iwdi01zdd33dgkvfwd9yegab.png","6","true"
"s5-60202","С5","60202","https://selcdn.trendagent.ru/images/u6/ef/gavoa0oopdv6r1k2silhw06t.png","6","true"
"s5-64004","С5","64004","https://selcdn.trendagent.ru/images/cw/7p/12cxp5ucdn1h66of3ffbqo7k.png","6","true"
"s5-10801","С5","10801","https://selcdn.trendagent.ru/images/56/cf/lixdarfha648tqk2qchrzihm.png","6","true"
"level-yuzhnoportovaya-199","Level Южнопортовая","199","https://selcdn.trendagent.ru/images/q6/9a/l_c616f124d491eda9b72a2dcc23727d9e.jpg","5","false"
"level-yuzhnoportovaya-19","Level Южнопортовая","19","https://selcdn.trendagent.ru/images/aq/aw/l_6df86a33c52dd2363733b355b1e05266.jpg","5","false"
"level-yuzhnoportovaya-33","Level Южнопортовая","33","https://selcdn.trendagent.ru/images/q2/ez/l_b240647d8286552f873ad00ad2a01aeb.jpg","5","false"
"level-yuzhnoportovaya-72","Level Южнопортовая","72","https://selcdn.trendagent.ru/images/d3/io/l_1eac0cc8c222eb459ec7f2aea67bac62.jpg","5","false"
"level-yuzhnoportovaya-958","Level Южнопортовая","958","https://selcdn.trendagent.ru/images/rq/e1/l_9d81174055ce82ef5b9191affe24dfe4.jpg","5","false"
"zilart-1404","ЗИЛАРТ","1404","https://selcdn.trendagent.ru/images/v4/6t/l_042e06da33c1c927dcfdef1048eefcca.jpg","5","false"
"zilart-1851","ЗИЛАРТ","1851","https://selcdn.trendagent.ru/images/67/wv/l_a9ef23aac5b13814c7f2f5973d7bf62c.jpg","5","false"
"zilart-1849","ЗИЛАРТ","1849","https://selcdn.trendagent.ru/images/1z/7h/l_79524f49a41897ebaf76012f0646c779.jpg","5","false"
"zilart-10","ЗИЛАРТ","10","https://selcdn.trendagent.ru/images/m7/x5/l_da77a2c43b5489ccb1c6c2f0e358cf35.jpg","5","false"
"zilart-1880","ЗИЛАРТ","1880","https://selcdn.trendagent.ru/images/go/kn/l_7215a1bc53e386b9495f8fb46c3b4549.jpg","5","false"
"losinoostrovskiy-park-1017891","Лосиноостровский парк","1017891","https://selcdn.trendagent.ru/images/9d/wp/l_bbc750f98237b61dcd13603a5a18cd2f.jpg","5","false"
"losinoostrovskiy-park-1018020","Лосиноостровский парк","1018020","https://selcdn.trendagent.ru/images/s5/ym/l_a6203f3c33c73b5c83e56ff149054133.jpg","5","false"
"losinoostrovskiy-park-1017966","Лосиноостровский парк","1017966","https://selcdn.trendagent.ru/images/fk/ag/l_e9f86a52bd088d5da6364d4762ec9716.jpg","5","false"
"losinoostrovskiy-park-1018054","Лосиноостровский парк","1018054","https://selcdn.trendagent.ru/images/b3/ti/l_e435583598760ce6a6084f3f6058739b.jpg","5","false"
"losinoostrovskiy-park-1018037","Лосиноостровский парк","1018037","https://selcdn.trendagent.ru/images/mt/oo/l_8ddad5a53bd76e387e60c00cbf8031f8.jpg","5","false"
"nizhegorodskaya-675","Нижегородская от Гранель","675","https://selcdn.trendagent.ru/images/7u/mr/l_a8fbd1d077582cff5aa98d79d2fba7e5.jpg","5","false"
"nizhegorodskaya-552","Нижегородская от Гранель","552","https://selcdn.trendagent.ru/images/om/pl/l_8d2ad8018dd44b7a54611fd0dff9ca55.jpg","5","false"
"nizhegorodskaya-540","Нижегородская от Гранель","540","https://selcdn.trendagent.ru/images/ir/ms/l_6331e0a735fb46dc470c7261f8158303.jpg","5","false"
"nizhegorodskaya-152","Нижегородская от Гранель","152","https://selcdn.trendagent.ru/images/az/7v/l_d0ff92f040d8c826d1a2908973ca921e.jpg","5","false"
"nizhegorodskaya-14","Нижегородская от Гранель","14","https://selcdn.trendagent.ru/images/4r/gx/l_ebd9d61b81cb1c8734615527ac51aa96.jpg","5","false"
"admiral-477","Адмирал","477","https://selcdn.trendagent.ru/images/66/no/l_86346322611adb0674c3ad65410544ef.jpg","5","false"
"admiral-296","Адмирал","296","https://selcdn.trendagent.ru/images/xo/cp/l_ca6525d91d74da17c9d3d4c7738ea283.jpg","5","false"
"admiral-459","Адмирал","459","https://selcdn.trendagent.ru/images/hd/id/l_f784ec9ed32bc7bac29abf9ac3b67fef.jpg","5","false"
"admiral-350","Адмирал","350","https://selcdn.trendagent.ru/images/ep/mt/l_c9c6144ca67b826ef57c3aab0a0c1585.jpg","5","false"
"admiral-190","Адмирал","190","https://selcdn.trendagent.ru/images/2o/59/l_0e32a8299f34508a3947705c0b575443.jpg","5","false"
"ice-towers-171","ICE Towers","171","https://selcdn.trendagent.ru/images/k1/6b/l_ce6e1b7a4f71e0c94b36feb8ed551e94.jpg","5","false"
"ice-towers-174","ICE Towers","174","https://selcdn.trendagent.ru/images/fv/vf/l_20cb1b232f2c42757609a81940c3f3f2.jpg","5","false"
"ice-towers-247","ICE Towers","247","https://selcdn.trendagent.ru/images/k7/10/l_00e9540b37d99af56dc525cab46f3071.jpg","5","false"
"ice-towers-258","ICE Towers","258","https://selcdn.trendagent.ru/images/rv/7k/l_6fc9cf43f120f69438642ef1bf608780.jpg","5","false"
