"internal_id","project","role","type","building","section","floor","flat","area","kitchen","finish","price","price_per_m2","source_url"
"luchi-5-21","Лучи","entry","Студия","5","1","3","21","21.6","0","Без отделки","11779732","545358","https://msk.trendagent.ru/object/luchi/#apartments"
"luchi-8-1935","Лучи","optimal","2Е-к.кв","8","9","21","1935","35.9","19.4","Без отделки","16708793","465426","https://msk.trendagent.ru/object/luchi/#apartments"
"luchi-8-1540","Лучи","value","3-к.кв","8","8","2","1540","60.7","12.5","Без отделки","21639974","356507","https://msk.trendagent.ru/object/luchi/#apartments"
"luchi-8-1462","Лучи","family","3-к.кв","8","7","2","1462","60.8","10.6","Без отделки","22318889","367087","https://msk.trendagent.ru/object/luchi/#apartments"
"luchi-1-2-824","Лучи","premium","3Е-к.кв","1-2","4","20","824","61.8","18.5","Чистовая","29189314","472319","https://msk.trendagent.ru/object/luchi/#apartments"
"s5-6-60305","С5","entry","1-к.кв","6","1","3","60305","41.1","8.4","Без стен","33917364","825240","https://msk.trendagent.ru/object/s5/#apartments"
"s5-4-40204","С5","optimal","2Е-к.кв","4","1","2","40204","56","27.1","Без стен","37951200","677700","https://msk.trendagent.ru/object/s5/#apartments"
"s5-6-60202","С5","value","1-к.кв","6","1","2","60202","40.9","8.6","Без стен","37047600","905809","https://msk.trendagent.ru/object/s5/#apartments"
"s5-6-64004","С5","family","5Е-к.кв","6","1","40","64004","123.4","25.3","Без стен","93320016","756240","https://msk.trendagent.ru/object/s5/#apartments"
"s5-1-10801","С5","premium","5Е-к.кв","1","1","8","10801","126","24.9","Без стен","112353160","891692","https://msk.trendagent.ru/object/s5/#apartments"
"level-yuzhnoportovaya-10-199","Level Южнопортовая","entry","Студия","10","1","16","199","28.7","0","Без отделки","15894762","553824","https://msk.trendagent.ru/object/level-yuzhnoportovaya/#apartments"
"level-yuzhnoportovaya-14-19","Level Южнопортовая","optimal","2Е-к.кв","14","1","4","19","46.5","19.1","Без стен","16810673","361520","https://msk.trendagent.ru/object/level-yuzhnoportovaya/#apartments"
"level-yuzhnoportovaya-13-33","Level Южнопортовая","value","3Е-к.кв","13","1","5","33","56.4","14.5","Без стен","18524417","328447","https://msk.trendagent.ru/object/level-yuzhnoportovaya/#apartments"
"level-yuzhnoportovaya-13-72","Level Южнопортовая","family","3Е-к.кв","13","1","8","72","56.4","14.5","Без стен","18580533","329442","https://msk.trendagent.ru/object/level-yuzhnoportovaya/#apartments"
"level-yuzhnoportovaya-1-958","Level Южнопортовая","premium","4-к.кв","1","1","68","958","120.6","19.4","Без стен","56824574","471182","https://msk.trendagent.ru/object/level-yuzhnoportovaya/#apartments"
"zilart-спарк-3-1404","ЗИЛАРТ","entry","Студия","СПАРК-3","1","8","1404","17.8","0","Без стен","16798038","943710","https://msk.trendagent.ru/object/zilart/#apartments"
"zilart-спарк-3-1851","ЗИЛАРТ","optimal","2Е-к.кв","СПАРК-3","1","40","1851","33.5","16.6","Без стен","21885449","653297","https://msk.trendagent.ru/object/zilart/#apartments"
"zilart-спарк-3-1849","ЗИЛАРТ","value","2Е-к.кв","СПАРК-3","1","40","1849","35.1","17.2","Без стен","22243887","633729","https://msk.trendagent.ru/object/zilart/#apartments"
"zilart-спарк-1-10","ЗИЛАРТ","family","3Е-к.кв","СПАРК-1","1.1","4","10","58.9","19.5","Без стен","32786567","556648","https://msk.trendagent.ru/object/zilart/#apartments"
"zilart-спарк-3-1880","ЗИЛАРТ","premium","5Е-к.кв","СПАРК-3","1","42","1880","109.7","32.5","Без стен","85206293","776721","https://msk.trendagent.ru/object/zilart/#apartments"
"losinoostrovskiy-park-2-3-1017891","Лосиноостровский парк","entry","Студия","2.3","1","8","1017891","30.7","0","Без стен","15064490","490700","https://msk.trendagent.ru/object/losinoostrovskiy-park/#apartments"
"losinoostrovskiy-park-2-3-1018020","Лосиноостровский парк","optimal","1-к.кв","2.3","2","11","1018020","31.8","16.4","Без стен","16570980","521100","https://msk.trendagent.ru/object/losinoostrovskiy-park/#apartments"
"losinoostrovskiy-park-2-3-1017966","Лосиноостровский парк","value","2-к.кв","2.3","2","3","1017966","48.9","17.9","Без стен","21056340","430600","https://msk.trendagent.ru/object/losinoostrovskiy-park/#apartments"
"losinoostrovskiy-park-2-3-1018054","Лосиноостровский парк","family","2-к.кв","2.3","2","16","1018054","46.7","15.3","Без стен","20529320","439600","https://msk.trendagent.ru/object/losinoostrovskiy-park/#apartments"
"losinoostrovskiy-park-2-3-1018037","Лосиноостровский парк","premium","3-к.кв","2.3","2","14","1018037","75.8","25.1","Без стен","26425244","348618","https://msk.trendagent.ru/object/losinoostrovskiy-park/#apartments"
"nizhegorodskaya-1-675","Нижегородская от Гранель","entry","Студия","1","7","12","675","29.74","0","Без отделки","14520055","488233","https://msk.trendagent.ru/object/mypriority-nizhegorodskaya/#apartments"
"nizhegorodskaya-1-552","Нижегородская от Гранель","optimal","1-к.кв","1","7","3","552","34.87","9.14","Без отделки","16920565","485247","https://msk.trendagent.ru/object/mypriority-nizhegorodskaya/#apartments"
"nizhegorodskaya-1-540","Нижегородская от Гранель","value","1-к.кв","1","7","2","540","36.14","10.77","Без отделки","16925288","468326","https://msk.trendagent.ru/object/mypriority-nizhegorodskaya/#apartments"
"nizhegorodskaya-1-152","Нижегородская от Гранель","family","2-к.кв","1","5","3","152","51.46","10.35","Без отделки","20002262","388695","https://msk.trendagent.ru/object/mypriority-nizhegorodskaya/#apartments"
"nizhegorodskaya-1-14","Нижегородская от Гранель","premium","3-к.кв","1","4","3","14","80.67","15.07","Без отделки","31195459","386705","https://msk.trendagent.ru/object/mypriority-nizhegorodskaya/#apartments"
"admiral-1-1-477","Адмирал","entry","Студия","1.1","1","16","477","28.5","0","Без отделки","16834427","590682","https://msk.trendagent.ru/object/admiral-gals/#apartments"
"admiral-1-1-296","Адмирал","optimal","1-к.кв","1.1","1","3","296","38.7","14.3","Без отделки","20151411","520708","https://msk.trendagent.ru/object/admiral-gals/#apartments"
"admiral-1-1-459","Адмирал","value","2Е-к.кв","1.1","1","15","459","41.9","15.5","Без отделки","21690798","517680","https://msk.trendagent.ru/object/admiral-gals/#apartments"
"admiral-1-1-350","Адмирал","family","3Е-к.кв","1.1","1","7","350","62.6","15","Без отделки","27981838","446994","https://msk.trendagent.ru/object/admiral-gals/#apartments"
"admiral-1-4-190","Адмирал","premium","3-к.кв","1.4","3","4","190","73.7","13.2","Без отделки","36008230","488578","https://msk.trendagent.ru/object/admiral-gals/#apartments"
"ice-towers-i-171","ICE Towers","entry","2Е-к.кв","I","1","15","171","36.7","17.2","Без стен","29153599","794376","https://msk.trendagent.ru/object/ice-towers/#apartments"
"ice-towers-i-174","ICE Towers","optimal","2Е-к.кв","I","1","15","174","40.7","18.9","Без стен","29655648","728640","https://msk.trendagent.ru/object/ice-towers/#apartments"
"ice-towers-i-247","ICE Towers","value","3Е-к.кв","I","1","21","247","57.5","16.1","Без стен","41694374","725120","https://msk.trendagent.ru/object/ice-towers/#apartments"
"ice-towers-i-258","ICE Towers","family","3Е-к.кв","I","1","22","258","57.5","16.1","Без стен","41923214","729099","https://msk.trendagent.ru/object/ice-towers/#apartments"
"ice-towers-i-177","ICE Towers","premium","4Е-к.кв","I","1","15","177","87.2","23.6","Без стен","62983470","722288","https://msk.trendagent.ru/object/ice-towers/#apartments"
"kinetik-2-151","KINETIK. Резиденции на Дмитровском","entry","Студия","2","1","5","151","35.2","0","Без стен","16740909","475594","https://msk.trendagent.ru/object/kinetik/#apartments"
"kinetik-2-1710","KINETIK. Резиденции на Дмитровском","optimal","2Е-к.кв","2","1","7","1710","41.75","15.27","Без стен","21650141","518566","https://msk.trendagent.ru/object/kinetik/#apartments"
"kinetik-2-161","KINETIK. Резиденции на Дмитровском","value","Студия","2","1","6","161","41.46","0","Без стен","19925687","480600","https://msk.trendagent.ru/object/kinetik/#apartments"
"kinetik-2-1133","KINETIK. Резиденции на Дмитровском","family","3Е-к.кв","2","1","13","1133","81.24","27.45","Без стен","38482105","473684","https://msk.trendagent.ru/object/kinetik/#apartments"
"kinetik-2-1203","KINETIK. Резиденции на Дмитровском","premium","4Е-к.кв","2","1","20","1203","89.84","33.88","Без стен","44348182","493635","https://msk.trendagent.ru/object/kinetik/#apartments"
"moskvoreche-1-2-964503","Москворечье","entry","Студия","1.2","3","16","964503","19.1","0","Чистовая","13988840","732400","https://msk.trendagent.ru/object/moskvoreche/#apartments"
"moskvoreche-1-3-984996","Москворечье","optimal","1-к.кв","1.3","4","37","984996","32","14.5","Чистовая","18374400","574200","https://msk.trendagent.ru/object/moskvoreche/#apartments"
"moskvoreche-1-2-964326","Москворечье","value","2Е-к.кв","1.2","3","1","964326","36.9","15.3","Чистовая","19497960","528400","https://msk.trendagent.ru/object/moskvoreche/#apartments"
"moskvoreche-1-2-964328","Москворечье","family","3Е-к.кв","1.2","3","2","964328","56.3","21.6","Чистовая","28780560","511200","https://msk.trendagent.ru/object/moskvoreche/#apartments"
"moskvoreche-1-3-984887","Москворечье","premium","3-к.кв","1.3","4","3","984887","67.8","20.9","Чистовая","34700040","511800","https://msk.trendagent.ru/object/moskvoreche/#apartments"
